original	reordered
Vernon Howard	Howard Vernon
Buthion Hubert	Hubert Buthion
Deschamps Hubert	Hubert Deschamps
Prelier Hubert	Hubert Prelier
Wheeler Hugh	Hugh Wheeler
Liese Hugues	Hugues Liese
Nazaris Inès	Inès Nazaris
Christian Irène	Irène Christian
Laurent Irène	Irène Laurent
Anderson Isabelle	Isabelle Anderson
Ehni Isabelle	Isabelle Ehni
Ganz Isabelle	Isabelle Ganz
Tanakil Isabelle	Isabelle Tanakil
Jaquine Jack	Jack Jaquine
Gencel Jacky	Jacky Gencel
Auclair Jacqueline	Jacqueline Auclair
Brasseur Jacqueline	Jacqueline Brasseur
Carrel Jacqueline	Jacqueline Carrel
Danno Jacqueline	Jacqueline Danno
Erly Jacqueline	Jacqueline Erly
Frot Jacqueline	Jacqueline Frot
Gauthier Jacqueline	Jacqueline Gauthier
Jefford Jacqueline	Jacqueline Jefford
Jehanneuf Jacqueline	Jacqueline Jehanneuf
Lefevre Jacqueline	Jacqueline Lefevre
Maillan Jacqueline	Jacqueline Maillan
Morane Jacqueline	Jacqueline Morane
Pierreux Jacqueline	Jacqueline Pierreux
Porel Jacqueline	Jacqueline Porel
Rivière Jacqueline	Jacqueline Rivière
Amyran Jacques	Jacques Amyran
Anquetil Jacques	Jacques Anquetil
Armand Jacques	Jacques Armand
Aveline Jacques	Jacques Aveline
Berger Jacques	Jacques Berger
Berthier Jacques	Jacques Berthier
Boisse Jacques	Jacques Boisse
Bonnaffé Jacques	Jacques Bonnaffé
Borel Jacques	Jacques Borel
Bouanich Jacques	Jacques Bouanich
Bretonnière Jacques	Jacques Bretonnière
Castelot Jacques	Jacques Castelot
Chabannes Jacques	Jacques Chabannes
Charby Jacques	Jacques Charby
Chardonnier Jacques	Jacques Chardonnier
Dacqmine Jacques	Jacques Dacqmine
Dancour Jacques	Jacques Dancour
Dannoville Jacques	Jacques Dannoville
Decrest Jacques	Jacques Decrest
Degor Jacques	Jacques Degor
Deschamps Jacques	Jacques Deschamps
Dublin Jacques	Jacques Dublin
Duby Jacques	Jacques Duby
Dufilho Jacques	Jacques Dufilho
Dumaine Jacques	Jacques Dumaine
Dynam Jacques	Jacques Dynam
Famery Jacques	Jacques Famery
Fayet Jacques	Jacques Fayet
Ferrière Jacques	Jacques Ferrière
Floran Jacques	Jacques Floran
Fonson Jacques	Jacques Fonson
Frantz Jacques	Jacques Frantz
Harden Jacques	Jacques Harden
Hébert Jacques	Jacques Hébert
Hilling Jacques	Jacques Hilling
Lassalle Jacques	Jacques Lassalle
